  Train Batch 81/582, Loss: 3.3090, Speed: 2.02 batches/sec
Epoch 20 Validation - Avg Loss: 3.3402, Avg Accuracy: 0.1507, Time: 4.83 sec

--- Generating Sample Text for Metrics (using Nucleus Sampling) ---
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]
Shape of filtered_logits: [1 106]
Finite logits exist per row: [1]

Generated Sample:
ROMEO.. yoei 
atceeateefaet teutl tfrryrefme.slistfh, 
h his tetal tdnas  heftiu saiaigsoeae i  eeh  o  tdunnld r,uahore, 
trhu l. tygmrudu m.ntome nw rhu ls umo of eoodi,lce.slm an dymgrstget nah.wh
, nr  hio her
u erthwi  tra. .
. ltae ne
n
 c oi
hn t
inlso otlrtnofmadr . o

 
ni , n  ce mt iey
 ha .nfd

--- Calculating Metrics (on Test Set) ---

Metrics for Transformer Model (evaluated against Test Set):
Spelling Accuracy (words from test set): 0.28
Bigram Overlap with Test Set: 0.92
Trigram Diversity of Generated Sample: 0.94
Bigram Diversity of Generated Sample: 0.63
(DD2424) antonyzhang@MacBook-Pro DD2424-Project % 
